Country,State,Year,"Number Of Government Allopathic Doctors (UOM:Number), Scaling Factor:1","Number Of Government Dental Surgeons (UOM:Number), Scaling Factor:1"
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2022",90,4
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022",6911,258
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022",585,67
India,Assam,"Calendar Year (Jan - Dec), 2022",6172,563
India,Bihar,"Calendar Year (Jan - Dec), 2022",3300,497
India,Chandigarh,"Calendar Year (Jan - Dec), 2022",2362,114
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2022",1731,86
India,Delhi,"Calendar Year (Jan - Dec), 2022",13879,478
India,Goa,"Calendar Year (Jan - Dec), 2022",685,110
India,Gujarat,"Calendar Year (Jan - Dec), 2022",6009,334
India,Haryana,"Calendar Year (Jan - Dec), 2022",2999,635
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2022",3081,326
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2022",2739,521
India,Jharkhand,"Calendar Year (Jan - Dec), 2022",2017,139
India,Karnataka,"Calendar Year (Jan - Dec), 2022",4836,303
India,Kerala,"Calendar Year (Jan - Dec), 2022",6147,141
India,Ladakh,"Calendar Year (Jan - Dec), 2022",75,12
India,Lakshadweep,"Calendar Year (Jan - Dec), 2022",66,9
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2022",4440,113
India,Maharashtra,"Calendar Year (Jan - Dec), 2022",13319,168
India,Manipur,"Calendar Year (Jan - Dec), 2022",1283,94
India,Meghalaya,"Calendar Year (Jan - Dec), 2022",610,73
India,Mizoram,"Calendar Year (Jan - Dec), 2022",565,53
India,Nagaland,"Calendar Year (Jan - Dec), 2022",375,66
India,Odisha,"Calendar Year (Jan - Dec), 2022",8729,519
India,Puducherry,"Calendar Year (Jan - Dec), 2022",463,51
India,Punjab,"Calendar Year (Jan - Dec), 2022",4120,287
India,Rajasthan,"Calendar Year (Jan - Dec), 2022",10090,461
India,Sikkim,"Calendar Year (Jan - Dec), 2022",295,82
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2022",10277,421
India,Telangana,"Calendar Year (Jan - Dec), 2022",7159,261
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2022",113.00000000000000000000,16.00000000000000000000
India,Tripura,"Calendar Year (Jan - Dec), 2022",1094,53
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2022",13250,787
India,Uttarakhand,"Calendar Year (Jan - Dec), 2022",2091,102
India,West Bengal,"Calendar Year (Jan - Dec), 2022",8074,379
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2021",93,4
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2021",6810,217
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2021",549,51
India,Assam,"Calendar Year (Jan - Dec), 2021",6172,563
India,Bihar,"Calendar Year (Jan - Dec), 2021",3300,497
India,Chandigarh,"Calendar Year (Jan - Dec), 2021",2978,112
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2021",1731,86
India,Delhi,"Calendar Year (Jan - Dec), 2021",13879,478
India,Goa,"Calendar Year (Jan - Dec), 2021",685,110
India,Gujarat,"Calendar Year (Jan - Dec), 2021",6009,334
India,Haryana,"Calendar Year (Jan - Dec), 2021",2999,635
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2021",2684,315
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2021",3327.58757788681204898820,538.94789988701747177910
India,Jharkhand,"Calendar Year (Jan - Dec), 2021",1966,157
India,Karnataka,"Calendar Year (Jan - Dec), 2021",4836,303
India,Kerala,"Calendar Year (Jan - Dec), 2021",6147,141
India,Ladakh,"Calendar Year (Jan - Dec), 2021",74.41242211318795101180,12.05210011298252822090
India,Lakshadweep,"Calendar Year (Jan - Dec), 2021",96,10
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2021",4440,113
India,Maharashtra,"Calendar Year (Jan - Dec), 2021",13319,168
India,Manipur,"Calendar Year (Jan - Dec), 2021",1162,106
India,Meghalaya,"Calendar Year (Jan - Dec), 2021",604,73
India,Mizoram,"Calendar Year (Jan - Dec), 2021",396,27
India,Nagaland,"Calendar Year (Jan - Dec), 2021",340,32
India,Odisha,"Calendar Year (Jan - Dec), 2021",6389,336
India,Puducherry,"Calendar Year (Jan - Dec), 2021",1930,62
India,Punjab,"Calendar Year (Jan - Dec), 2021",3563,308
India,Rajasthan,"Calendar Year (Jan - Dec), 2021",10087,499
India,Sikkim,"Calendar Year (Jan - Dec), 2021",328,71
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2021",10277,421
India,Telangana,"Calendar Year (Jan - Dec), 2021",1244,77
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2021",113.00000000000000000000,16.00000000000000000000
India,Tripura,"Calendar Year (Jan - Dec), 2021",958,53
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2021",12138,236
India,Uttarakhand,"Calendar Year (Jan - Dec), 2021",2091,102
India,West Bengal,"Calendar Year (Jan - Dec), 2021",8074,379
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",97,4
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",8042,311
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",549,51
India,Assam,"Calendar Year (Jan - Dec), 2020",6172,563
India,Bihar,"Calendar Year (Jan - Dec), 2020",3300,497
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",1999,114
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",1731,86
India,Delhi,"Calendar Year (Jan - Dec), 2020",13879,478
India,Goa,"Calendar Year (Jan - Dec), 2020",685,110
India,Gujarat,"Calendar Year (Jan - Dec), 2020",6009,334
India,Haryana,"Calendar Year (Jan - Dec), 2020",2842,635
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2020",2620,322
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2020",3327.58757788681204898820,538.94789988701747177910
India,Jharkhand,"Calendar Year (Jan - Dec), 2020",1966,157
India,Karnataka,"Calendar Year (Jan - Dec), 2020",4973,363
India,Kerala,"Calendar Year (Jan - Dec), 2020",6147,141
India,Ladakh,"Calendar Year (Jan - Dec), 2020",74.41242211318795101180,12.05210011298252822090
India,Lakshadweep,"Calendar Year (Jan - Dec), 2020",96,10
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2020",4440,113
India,Maharashtra,"Calendar Year (Jan - Dec), 2020",13319,168
India,Manipur,"Calendar Year (Jan - Dec), 2020",1162,106
India,Meghalaya,"Calendar Year (Jan - Dec), 2020",558,73
India,Mizoram,"Calendar Year (Jan - Dec), 2020",519,45
India,Nagaland,"Calendar Year (Jan - Dec), 2020",340,32
India,Odisha,"Calendar Year (Jan - Dec), 2020",3935,332
India,Puducherry,"Calendar Year (Jan - Dec), 2020",1114,30
India,Punjab,"Calendar Year (Jan - Dec), 2020",2193,281
India,Rajasthan,"Calendar Year (Jan - Dec), 2020",10087,499
India,Sikkim,"Calendar Year (Jan - Dec), 2020",328,71
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2020",10277,421
India,Telangana,"Calendar Year (Jan - Dec), 2020",1244,77
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2020",113.00000000000000000000,16.00000000000000000000
India,Tripura,"Calendar Year (Jan - Dec), 2020",999,53
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2020",12138,236
India,Uttarakhand,"Calendar Year (Jan - Dec), 2020",2091,102
India,West Bengal,"Calendar Year (Jan - Dec), 2020",12315,658
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2019",72,6
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2019",5114,491
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2019",549,51
India,Assam,"Calendar Year (Jan - Dec), 2019",6082,544
India,Bihar,"Calendar Year (Jan - Dec), 2019",2792,258
India,Chandigarh,"Calendar Year (Jan - Dec), 2019",1438,59
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",1626,10
India,Delhi,"Calendar Year (Jan - Dec), 2019",9121,312
India,Goa,"Calendar Year (Jan - Dec), 2019",644,113
India,Gujarat,"Calendar Year (Jan - Dec), 2019",5475,174
India,Haryana,"Calendar Year (Jan - Dec), 2019",2618,566
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2019",1517,276
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2019",3969.23879807897804079780,501.77907920515419786330
India,Jharkhand,"Calendar Year (Jan - Dec), 2019",1793,32
India,Karnataka,"Calendar Year (Jan - Dec), 2019",5046,374
India,Kerala,"Calendar Year (Jan - Dec), 2019",5239,172
India,Ladakh,"Calendar Year (Jan - Dec), 2019",88.76120192102195920220,11.22092079484580213670
India,Lakshadweep,"Calendar Year (Jan - Dec), 2019",29,1
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2019",4588,120
India,Maharashtra,"Calendar Year (Jan - Dec), 2019",6981,80
India,Manipur,"Calendar Year (Jan - Dec), 2019",1099,86
India,Meghalaya,"Calendar Year (Jan - Dec), 2019",585,62
India,Mizoram,"Calendar Year (Jan - Dec), 2019",437,44
India,Nagaland,"Calendar Year (Jan - Dec), 2019",332,49
India,Odisha,"Calendar Year (Jan - Dec), 2019",4300,332
India,Puducherry,"Calendar Year (Jan - Dec), 2019",700,61
India,Punjab,"Calendar Year (Jan - Dec), 2019",3331,303
India,Rajasthan,"Calendar Year (Jan - Dec), 2019",7227,345
India,Sikkim,"Calendar Year (Jan - Dec), 2019",268,60
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2019",7233,584
India,Telangana,"Calendar Year (Jan - Dec), 2019",4123,201
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2019",157.00000000000000000000,57.00000000000000000000
India,Tripura,"Calendar Year (Jan - Dec), 2019",1256,107
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2019",10754,188
India,Uttarakhand,"Calendar Year (Jan - Dec), 2019",1344,59
India,West Bengal,"Calendar Year (Jan - Dec), 2019",8829,647
