Country,State,Year,Additional Info,"Sub Centres And Hwc Sub Centres In Rural Areas I (UOM:Number), Scaling Factor:1","Primary Health Centres And Hwc Primary Health Centres In Rural Areas I (UOM:Number), Scaling Factor:1","Sub Centres In Rural Areas (UOM:Number), Scaling Factor:1","Sub Centres And Hwc Sub Centres Building Position In Rural Areas (UOM:Number), Scaling Factor:1","Sub Centres In Government Buildings In Rural Areas (UOM:Number), Scaling Factor:1","Sub Centres In Rented Buildings In Rural Areas (UOM:Number), Scaling Factor:1","Sub Centres In Rent Free Panchayat Or Voluntary Society Buildings In Rural Areas (UOM:Number), Scaling Factor:1","Sub Centres Buildings Under Construction In Rural Areas (UOM:Number), Scaling Factor:1","Primary Health Centres And Hwc Building Position In Rural Areas (UOM:Number), Scaling Factor:1","Primary Health Centres In Government Buildings In Rural Areas (UOM:Number), Scaling Factor:1","Primary Health Centres In Rented Buildings In Rural Areas (UOM:Number), Scaling Factor:1","Primary Health Centres In Rent Free Panchayat Or Voluntary Society Buildings In Rural Areas (UOM:Number), Scaling Factor:1","Primary Health Centres Buildings Under Construction In Rural Areas (UOM:Number), Scaling Factor:1","Community Health Centres Building Position In Rural Areas (UOM:Number), Scaling Factor:1","Community Health Centres In Government Buildings In Rural Areas (UOM:Number), Scaling Factor:1","Community Health Centres In Rented Buildings In Rural Areas (UOM:Number), Scaling Factor:1","Community Health Centres In Rent Free Panchayat Or Voluntary Society Buildings In Rural Areas (UOM:Number), Scaling Factor:1","Community Health Centres Buildings Under Construction In Rural Areas (UOM:Number), Scaling Factor:1","Anm Required At Sub Centres And Phcs In Rural Areas (UOM:Number), Scaling Factor:1","Anm Sanctioned At Sub Centres And Phcs In Rural Areas (UOM:Number), Scaling Factor:1","Anm In Position At Sub Centres And Phcs In Rural Areas (UOM:Number), Scaling Factor:1","Anm Vacancies At Sub Centres And Phcs In Rural Areas (UOM:Number), Scaling Factor:1","Anm Shortfall At Sub Centres And Phcs In Rural Areas (UOM:Number), Scaling Factor:1","Doctors Required At Phcs In Rural Areas (UOM:Number), Scaling Factor:1","Doctors Sanctioned At Phcs In Rural Areas (UOM:Number), Scaling Factor:1","Doctors In Position At Phcs In Rural Areas (UOM:Number), Scaling Factor:1","Doctors Vacancies At Phcs In Rural Areas (UOM:Number), Scaling Factor:1","Doctors Shortfall At Phcs In Rural Areas (UOM:Number), Scaling Factor:1","Specialists Required At Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Specialists Sanctioned At Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Specialists In Position At Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Specialists Vacancies At Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Specialists Shortfall At Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Radiographers Required At Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Radiographers Sanctioned At Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Radiographers In Position At Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Radiographers Vacancies At Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Radiographers Shortfall At Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Pharmacists Required At Phcs And Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Pharmacists Sanctioned At Phcs And Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Pharmacists In Position At Phcs And Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Pharmacists Vacancies At Phcs And Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Pharmacists Shortfall At Phcs And Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Lab Technicians Required At Phcs And Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Lab Technicians Sanctioned At Phcs And Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Lab Technicians In Position At Phcs And Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Lab Technicians Vacancies At Phcs And Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Lab Technicians Shortfall At Phcs And Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Nursing Staff Required At Phcs And Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Nursing Staff Sanctioned At Phcs And Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Nursing Staff In Position At Phcs And Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Nursing Staff Vacancies At Phcs And Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Nursing Staff Shortfall At Phcs And Chcs In Rural Areas (UOM:Number), Scaling Factor:1"
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2022","Telangana came to existence in 2014 after bifurcation of Andhra Pradesh; Surplus observed in Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Shortfall in Rural Areas, Nursing Staff Shortfall in Rural Areas",11073,1142,139,11073,2908,0,8165,1142,1126,1,15,139,139,0,0,,,,12215,14739,14009,730,,1142,2206,2048,158,,556,408,264,144,292,139,101,47,54,92,1281,1462,1216,246,65,1281,1530,1197,333,84,2115,4630,3949,681,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2022","Not Available in Health Worker [Female]/ANM Sanctioned in Rural Areas, Health Worker [Female]/ANM Vacant in Rural Areas, Doctors at PHCs Sanctioned in Rural Areas, Doctors at PHCs Vacant in Rural Areas, Specialists Sanctioned in Rural Areas, Specialists Vacant in Rural Areas, Radiographer Sanctioned in Rural Areas, Radiographer Vacant in Rural Areas, Pharmacist Sanctioned in Rural Areas, Pharmacist Vacant in Rural Areas, Lab Technician Sanctioned in Rural Areas, Lab Technician Vacant in Rural Areas, Nursing Staff Sanctioned in Rural Areas, Nursing Staff Vacant in Rural Areas; Surplus observed in Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Shortfall in Rural Areas, Nursing Staff Shortfall in Rural Areas",355,126,57,355,304,0,51,126,126,0,0,57,57,0,0,,,,481,,575,,,126,,129,,,228,,11,,217,57,,18,,39,183,,92,,91,183,,146,,37,525,,692,,
India,Assam,"Calendar Year (Jan - Dec), 2022","Surplus observed in Health Worker [Female]/ANM Vacant in Rural Areas, Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Shortfall in Rural Areas, Pharmacist Vacant in Rural Areas, Pharmacist Shortfall in Rural Areas, Lab Technician Vacant in Rural Areas, Lab Technician Shortfall in Rural Areas, Nursing Staff Vacant in Rural Areas, Nursing Staff Shortfall in Rural Areas",4667,920,172,4667,3904,645,118,920,909,5,6,172,172,0,0,,,,5587,8852,8854,,,920,1617,1381,236,,688,267,179,88,509,172,105,93,12,79,1092,1298,1363,,,1092,1279,1302,,,2124,3484,3563,,
India,Bihar,"Calendar Year (Jan - Dec), 2022","Surplus observed in Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Shortfall in Rural Areas, Nursing Staff Shortfall in Rural Areas",9375,1492,269,9375,3370,2732,3273,1492,815,266,411,269,224,0,45,,,,10867,20626,19519,1107,,1492,3595,1538,2057,,1076,1281,322,959,754,269,175,29,146,240,1761,1577,424,1153,1337,1761,1606,908,698,853,3375,8223,4956,3267,
India,Chandigarh,"Calendar Year (Jan - Dec), 2022","Not Applicable in Building position for Sub Centres functioning in Govt. Building in Rural Areas, Building position for Sub Centres functioning in Rented Building in Rural Areas, Building position for Sub Centres functioning in Rent Free Panchayat / Vol. Society Building in Rural Areas, Building position for PHCs functioning in Govt. Building in Rural Areas, Building position for PHCs functioning in Rented Building in Rural Areas, Building position for PHCs functioning in Rent Free Panchayat / Vol. Society Building in Rural Areas, Building position for CHCs functioning in Govt. Building in Rural Areas, Building position for CHCs functioning in Rented Building in Rural Areas, Building position for CHCs functioning in Rent Free Panchayat / Vol. Society Building in Rural Areas, Health Worker [Female]/ANM Sanctioned in Rural Areas, Health Worker [Female]/ANM In Position in Rural Areas, Health Worker [Female]/ANM Vacant in Rural Areas, Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Sanctioned in Rural Areas, Doctors at PHCs In Position in Rural Areas, Doctors at PHCs Vacant in Rural Areas, Doctors at PHCs Shortfall in Rural Areas, Specialists Sanctioned in Rural Areas, Specialists Vacant in Rural Areas, Specialists Shortfall in Rural Areas, Radiographer In Position in Rural Areas, Radiographer Shortfall in Rural Areas, Pharmacist Sanctioned in Rural Areas, Pharmacist Vacant in Rural Areas, Pharmacist Shortfall in Rural Areas, Lab Technician Sanctioned in Rural Areas, Lab Technician In Position in Rural Areas, Lab Technician Vacant in Rural Areas, Lab Technician Shortfall in Rural Areas, Nursing Staff Sanctioned in Rural Areas, Nursing Staff Vacant in Rural Areas, Nursing Staff Shortfall in Rural Areas",0,0,0,0,,,,0,,,,0,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2022","Surplus observed in Health Worker [Female]/ANM Shortfall in Rural Areas, Nursing Staff Shortfall in Rural Areas",5124,770,167,5124,4397,41,686,770,723,1,46,167,167,0,0,,,,5894,7419,6205,1214,,770,967,491,476,279,668,616,66,550,602,167,182,140,42,27,937,1111,784,327,153,937,1257,928,329,9,1939,4233,3144,1089,
India,Delhi,"Calendar Year (Jan - Dec), 2022","Not Applicable in Building position for CHCs functioning in Govt. Building in Rural Areas, Building position for CHCs functioning in Rented Building in Rural Areas, Building position for CHCs functioning in Rent Free Panchayat / Vol. Society Building in Rural Areas, Specialists Sanctioned in Rural Areas, Specialists Vacant in Rural Areas, Specialists Shortfall in Rural Areas, Radiographer In Position in Rural Areas, Radiographer Shortfall in Rural Areas; Surplus observed in Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Shortfall in Rural Areas, Lab Technician Shortfall in Rural Areas, Nursing Staff Shortfall in Rural Areas",12,5,0,12,1,8,3,5,5,0,0,0,,,,,,,17,37,34,3,,5,19,16,3,,0,,,,,0,,,,,5,4,3,1,2,5,7,6,1,,5,6,6,0,
India,Goa,"Calendar Year (Jan - Dec), 2022","Surplus observed in Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Shortfall in Rural Areas, Radiographer Shortfall in Rural Areas, Pharmacist Shortfall in Rural Areas, Lab Technician Shortfall in Rural Areas, Nursing Staff Shortfall in Rural Areas",219,24,6,219,60,133,26,24,21,1,2,6,6,0,0,,,,243,591,469,122,,24,74,66,8,,24,22,2,20,22,6,11,9,2,,30,92,82,10,,30,46,46,0,,66,239,167,72,
India,Gujarat,"Calendar Year (Jan - Dec), 2022","Surplus observed in Doctors at PHCs Shortfall in Rural Areas, Nursing Staff Shortfall in Rural Areas",9132,1474,344,9132,6304,466,2362,1474,1303,12,159,344,317,2,25,,,,10606,10889,9603,1286,1003,1474,1877,1692,185,,1376,411,127,284,1249,344,113,72,41,272,1818,1879,1631,248,187,1818,1861,1682,179,136,3882,4465,3901,564,
India,Haryana,"Calendar Year (Jan - Dec), 2022","Surplus observed in Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Shortfall in Rural Areas, Nursing Staff Shortfall in Rural Areas",2653,394,129,2653,1613,251,789,394,308,5,81,129,122,0,7,,,,3047,5647,4643,1004,,394,791,591,200,,516,136,33,103,483,129,116,27,89,102,523,664,398,266,125,523,786,409,377,114,1297,3263,2262,1001,
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2022","Not Available in Specialists Sanctioned in Rural Areas, Specialists Vacant in Rural Areas",2114,553,93,2114,1658,14,442,553,475,3,75,93,90,1,2,,,,2667,2236,1299,937,1368,553,651,501,150,52,372,,18,,354,93,55,36,19,57,646,736,518,218,128,646,306,116,190,530,1204,665,447,218,757
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2022","Jammu & Kashmir and Ladakh bifurcated and became UTs during Aug 2019; Surplus observed in Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Shortfall in Rural Areas, Radiographer Shortfall in Rural Areas, Pharmacist Shortfall in Rural Areas",2429,891,56,2429,750,1557,122,891,648,179,64,56,56,0,0,,,,3320,4830,4356,474,,891,1524,904,620,,224,228,127,101,97,56,234,204,30,,947,1309,1129,180,,947,727,627,100,320,1283,1442,1149,293,134
India,Jharkhand,"Calendar Year (Jan - Dec), 2022","Surplus observed in Health Worker [Female]/ANM Shortfall in Rural Areas, Nursing Staff Vacant in Rural Areas",3848,291,171,3848,2436,845,567,291,234,8,49,171,171,0,0,,,,4139,8278,5508,2770,,291,291,285,6,6,684,684,207,477,477,171,171,120,51,51,462,462,229,233,233,462,582,377,205,85,1488,1317,1372,,116
India,Karnataka,"Calendar Year (Jan - Dec), 2022",Surplus observed in Nursing Staff Shortfall in Rural Areas,8757,2138,182,8757,4470,2074,2213,2138,1988,44,106,182,179,0,3,,,,10895,13758,10714,3044,181,2138,2492,2078,414,60,728,461,263,198,465,182,142,114,28,68,2320,2387,1641,746,679,2320,2189,1823,366,497,3412,5371,4858,513,
India,Kerala,"Calendar Year (Jan - Dec), 2022","Surplus observed in Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Shortfall in Rural Areas, Pharmacist Shortfall in Rural Areas, Nursing Staff Shortfall in Rural Areas",4933,780,211,4933,3165,444,1324,780,755,6,19,211,209,0,2,,,,5713,6885,5840,1045,,780,1564,1503,61,,844,50,48,2,796,211,17,13,4,198,991,1199,1189,10,,991,732,716,16,275,2257,3167,2940,227,
India,Ladakh,"Calendar Year (Jan - Dec), 2022","Jammu & Kashmir and Ladakh bifurcated and became UTs during Aug 2019; Surplus observed in Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Shortfall in Rural Areas, Radiographer Shortfall in Rural Areas, Pharmacist Shortfall in Rural Areas",288,32,7,288,227,57,4,32,32,0,0,7,7,0,0,,,,320,487,403,84,,32,108,54,54,,28,27,12,15,16,7,9,8,1,,39,62,58,4,,39,30,24,6,15,81,53,52,1,29
India,Lakshadweep,"Calendar Year (Jan - Dec), 2022","Surplus observed in Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Shortfall in Rural Areas, Radiographer Shortfall in Rural Areas, Pharmacist Shortfall in Rural Areas, Lab Technician Shortfall in Rural Areas, Nursing Staff Shortfall in Rural Areas",9,4,3,9,6,0,3,4,3,0,1,3,3,0,0,,,,13,46,45,1,,4,12,12,0,,12,8,8,0,4,3,6,6,0,,7,15,13,2,,7,15,15,0,,25,46,46,0,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2022","Surplus observed in Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Shortfall in Rural Areas, Nursing Staff Vacant in Rural Areas, Nursing Staff Shortfall in Rural Areas",10287,1266,332,10287,8655,667,965,1266,1145,30,91,332,309,8,15,,,,11553,12965,12236,729,,1266,1946,1631,315,,1328,1193,66,1127,1262,332,332,195,137,137,1598,1598,1425,173,173,1598,1598,1151,447,447,3590,4612,4649,,
India,Maharashtra,"Calendar Year (Jan - Dec), 2022","Surplus observed in Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Shortfall in Rural Areas",10673,1853,256,10673,9708,405,560,1853,1809,30,14,256,252,0,4,,,,12526,17000,13531,3469,,1853,3960,3239,721,,1024,452,313,139,711,256,137,98,39,158,2109,2163,1834,329,275,2109,2147,1579,568,530,3645,4117,3172,945,473
India,Manipur,"Calendar Year (Jan - Dec), 2022","Surplus observed in Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Shortfall in Rural Areas, Pharmacist Shortfall in Rural Areas, Lab Technician Shortfall in Rural Areas, Nursing Staff Shortfall in Rural Areas",393,74,8,393,310,13,70,74,69,0,5,8,8,0,0,,,,467,1055,933,122,,74,343,308,35,,32,32,18,14,14,8,10,7,3,1,82,165,163,2,,82,131,113,18,,130,463,405,58,
