Country,State,Year,"Number Of Sub Centers In Rural Areas (UOM:Number), Scaling Factor:1","Number Of Sub Centers In Urban Areas (UOM:Number), Scaling Factor:1","Primary Helath Centres (Phc) In Rural Areas (UOM:Number), Scaling Factor:1","Primary Helath Centres (Phc) In Urban Areas (UOM:Number), Scaling Factor:1","Number Of Sub Centres Under Health And Wellness Centres (Hwc) (UOM:Number), Scaling Factor:1","Rural Primary Health Centres Under Health And Wellness Centres (Hwc) (UOM:Number), Scaling Factor:1","Urban Primary Health Centres Under Health And Wellness Centres (Hwc) (UOM:Number), Scaling Factor:1","Community Health Centres (Chc) In Rural Areas (UOM:Number), Scaling Factor:1","Community Health Centres (Chc) In Urban Areas (UOM:Number), Scaling Factor:1"
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2021",124,0,22,5,,,,4,0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2021",11073,407,1142,547,,,,139,42
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2021",355,12,126,5,,,,57,0
India,Assam,"Calendar Year (Jan - Dec), 2021",4667,34,920,90,,,,172,29
India,Bihar,"Calendar Year (Jan - Dec), 2021",9375,1024,1492,268,,,,269,32
India,Chandigarh,"Calendar Year (Jan - Dec), 2021",0,0,0,43,,,,0,2
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2021",5124,370,770,52,,,,167,3
India,Delhi,"Calendar Year (Jan - Dec), 2021",12,2,5,545,,,,0,0
India,Goa,"Calendar Year (Jan - Dec), 2021",219,0,24,4,,,,6,0
India,Gujarat,"Calendar Year (Jan - Dec), 2021",9132,0,1474,330,,,,344,17
India,Haryana,"Calendar Year (Jan - Dec), 2021",2653,0,394,103,,,,129,2
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2021",2114,1,553,17,,,,93,4
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2021",2429,42,891,82,,,,56,23
India,Jharkhand,"Calendar Year (Jan - Dec), 2021",3848,0,291,70,,,,171,7
India,Karnataka,"Calendar Year (Jan - Dec), 2021",8757,515,2138,383,,,,182,30
India,Kerala,"Calendar Year (Jan - Dec), 2021",4933,479,780,164,,,,211,19
India,Ladakh,"Calendar Year (Jan - Dec), 2021",288,0,32,1,,,,7,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2021",9,0,4,0,,,,3,0
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2021",10287,0,1266,306,,,,332,24
India,Maharashtra,"Calendar Year (Jan - Dec), 2021",10673,0,1853,686,,,,256,142
India,Manipur,"Calendar Year (Jan - Dec), 2021",393,23,74,21,,,,8,9
India,Meghalaya,"Calendar Year (Jan - Dec), 2021",459,0,122,25,,,,28,0
India,Mizoram,"Calendar Year (Jan - Dec), 2021",300,73,57,9,,,,9,0
India,Nagaland,"Calendar Year (Jan - Dec), 2021",434,18,129,7,,,,23,0
India,Odisha,"Calendar Year (Jan - Dec), 2021",6688,0,1288,105,,,,377,7
India,Puducherry,"Calendar Year (Jan - Dec), 2021",53,28,24,15,,,,3,1
India,Punjab,"Calendar Year (Jan - Dec), 2021",2951,0,422,100,,,,150,10
India,Rajasthan,"Calendar Year (Jan - Dec), 2021",13523,66,2133,276,,,,616,69
India,Sikkim,"Calendar Year (Jan - Dec), 2021",147,6,24,2,,,,2,0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2021",8713,0,1422,464,,,,385,15
India,Telangana,"Calendar Year (Jan - Dec), 2021",4229,681,578,256,,,,28,54
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2021",94,3,12,2,,,,3,1
India,Tripura,"Calendar Year (Jan - Dec), 2021",956,44,108,9,,,,21,2
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2021",20781,0,2919,594,,,,829,12
India,Uttarakhand,"Calendar Year (Jan - Dec), 2021",1785,66,531,76,,,,52,28
India,West Bengal,"Calendar Year (Jan - Dec), 2021",10357,0,915,456,,,,348,0
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2020",124,0,22,5,,,,4,0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",7437,21,1142,259,,,,141,57
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",337,10,122,5,,,,57,0
India,Assam,"Calendar Year (Jan - Dec), 2020",4663,15,948,53,,,,197,2
India,Bihar,"Calendar Year (Jan - Dec), 2020",10258,0,1932,102,,,,306,0
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",0,0,0,42,,,,0,2
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",5115,370,769,52,,,,166,3
India,Delhi,"Calendar Year (Jan - Dec), 2020",12,3,5,544,,,,0,0
India,Goa,"Calendar Year (Jan - Dec), 2020",219,0,23,4,,,,6,0
India,Gujarat,"Calendar Year (Jan - Dec), 2020",9162,0,1477,322,,,,333,27
India,Haryana,"Calendar Year (Jan - Dec), 2020",2626,0,384,100,,,,124,13
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2020",2114,1,553,19,,,,98,0
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2020",2426,45,891,82,,,,63,16
India,Jharkhand,"Calendar Year (Jan - Dec), 2020",3848,0,291,59,,,,171,5
India,Karnataka,"Calendar Year (Jan - Dec), 2020",8891,550,2141,390,,,,182,30
India,Kerala,"Calendar Year (Jan - Dec), 2020",5234,250,782,158,,,,213,16
India,Ladakh,"Calendar Year (Jan - Dec), 2020",289,0,32,0,,,,7,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2020",7,0,4,0,,,,3,0
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2020",10189,0,1234,284,,,,295,25
India,Maharashtra,"Calendar Year (Jan - Dec), 2020",10673,0,1839,651,,,,270,131
India,Manipur,"Calendar Year (Jan - Dec), 2020",416,0,86,9,,,,17,0
India,Meghalaya,"Calendar Year (Jan - Dec), 2020",448,3,121,24,,,,28,0
India,Mizoram,"Calendar Year (Jan - Dec), 2020",340,37,62,6,,,,9,0
India,Nagaland,"Calendar Year (Jan - Dec), 2020",427,18,131,7,,,,21,0
India,Odisha,"Calendar Year (Jan - Dec), 2020",6688,0,1288,91,,,,377,7
India,Puducherry,"Calendar Year (Jan - Dec), 2020",53,28,24,15,,,,3,1
India,Punjab,"Calendar Year (Jan - Dec), 2020",2951,0,422,100,,,,150,10
India,Rajasthan,"Calendar Year (Jan - Dec), 2020",13531,50,2130,264,,,,589,68
India,Sikkim,"Calendar Year (Jan - Dec), 2020",147,6,24,2,,,,2,0
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2020",8713,0,1422,464,,,,385,15
India,Telangana,"Calendar Year (Jan - Dec), 2020",4744,256,636,227,,,,85,10
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2020",94,3,12,2,,,,3,1
India,Tripura,"Calendar Year (Jan - Dec), 2020",967,32,108,8,,,,22,0
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2020",20778,0,2923,593,,,,753,12
India,Uttarakhand,"Calendar Year (Jan - Dec), 2020",1823,20,245,42,,,,53,19
India,West Bengal,"Calendar Year (Jan - Dec), 2020",10357,0,915,454,,,,348,0
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2019",124,0,22,5,28,17,5,4,0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2019",7437,21,1142,243,779,1145,243,141,57
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2019",356,7,119,5,78,38,4,60,0
India,Assam,"Calendar Year (Jan - Dec), 2019",4659,21,946,56,765,379,52,190,2
India,Bihar,"Calendar Year (Jan - Dec), 2019",9112,1168,1702,325,117,650,97,57,7
India,Chandigarh,"Calendar Year (Jan - Dec), 2019",0,0,0,48,0,0,10,0,2
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",5205,364,792,45,1424,379,43,170,4
